1970	2025	! 0
2200	1800	! 1
2200	1800	! 2
2200	1800	! 3
2200	1800	! 4
2033	2065	! 5
2055	2090	! 6
1994	2038	! 7
1980	2012	! 8
2200	1800	! 9
2033	2069	! 10
2017	2050	! 11
2052	2090	! 12
2027	2060	! 13
1976	2017	! 14
1953	1998	! 15
2200	1800	! 16
1905	2066	! 17
1852	2088	! 18
1982	2191	! 19
2022	2236	! 20
2051	2217	! 21
2200	1800	! 22
1972	2078	! 23
2155	2365	! 24
1994	2137	! 25
1752	2052	! 26
1989	2123	! 27
1927	2076	! 28
1996	2161	! 29
2154	2376	! 30
188	4095	! 31
2150	2415	! 32
2292	2690	! 33
2200	1800	! 34
2376	2861	! 35
1946	2547	! 36
2353	2961	! 37
2140	2552	! 38
2590	2972	! 39
1359	2323	! 40
1200	1800	! 41
2200	2400	! 42
2200	1800	! 43
2200	2600	! 44
2200	2500	! 45
2350	2561	! 46
2100	2600	! 47
1000    4095    ! 48
660     4095    ! 49
620	4095	! 50
677	4095	! 51
590	4095	! 52
610	4095	! 53
1644	3135	! 54
1228	2605	! 55
637     3505    ! 56
650     3500    ! 57
650     4095    ! 58
650     4095    ! 59
650     4095    ! 60
650     4095    ! 61
1930	3109	! 62
188     4095    ! 63 
2200    1800    ! 64
2200    1800    ! 65
2200    1800    ! 66
2200    1800    ! 67
2200    1800    ! 68
2200    1800    ! 69
2200    1800    ! 70
2200    1800    ! 71
2200    1800    ! 72
2200    1800    ! 73
2200    1800    ! 74
2200    1800    ! 75
2200    1800    ! 76
2200    1800    ! 77
2200    1800    ! 78
2200    1800    ! 79
2200    1800    ! 80
2200    1800    ! 81
2200    1800    ! 82
2200    1800    ! 83
2200    1800    ! 84
2200    1800    ! 85
2200    1800    ! 86
2200    1800    ! 87
2200    1800    ! 88
2200    1800    ! 89
2200    1800    ! 90
2200    1800    ! 91
2200    1800    ! 92
2200    1800    ! 93
2200    1800    ! 94
188	4095    ! 95
